公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率
1108 幸福,1108,1108,2021/12/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,11.29,4,0.23,2.14,1.24,-26.27,19.41,19.41,66.42,52.72,42.78,42.78,58.14,0.18,-0.24,13.19,0.24
1108 幸福,1108,1108,2021/9/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,11.34,3,0.09,0.5,0.28,-26.58,-43.3,-43.3,-60.06,-61.23,-64.47,-64.47,-63.73,-0.12,-0.71,16.77,-0.85
1108 幸福,1108,1108,2021/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,12.29,2,0.2,2.02,1.13,-8.35,-30.72,-30.72,-31.53,-27.47,-40.99,-40.99,-40.89,6.12,0.91,6.39,-0.78
1108 幸福,1108,1108,2021/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,11.44,1,0.13,1.33,0.76,-5.32,-23.71,-23.71,-30.07,-31.72,-41.86,-41.86,-42.08,6.46,2.08,-3.59,-0.62
1109 信大,1109,1109,2023/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,17.68,2,0.6,0.94,0.79,-3.92,3.2,3.2,5.98,26.32,6268.75,6268.75,1685.36,-1.17,2.7,-3.19,2.12
1109 信大,1109,1109,2023/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,16.29,1,0.42,1.98,1.68,7.66,25.28,25.28,45.92,47.86,50.92,50.92,24.44,0.13,-3.02,0.18,0.48
1109 信大,1109,1109,2022/12/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,14.96,4,0.34,0.87,0.74,-22.85,-43.73,-43.73,-48.02,-47.81,-64.87,-64.87,-66.25,-1.81,-1.92,0.44,-2.53
1109 信大,1109,1109,2022/9/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,14.34,3,0.63,3.03,2.49,14.39,-3.23,-3.23,4.73,26.13,84.13,84.13,93.81,3.25,2.36,-1.39,0.97
1109 信大,1109,1109,2022/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,17.53,2,-0.06,-0.67,-0.57,-6.35,-39.22,-39.22,-41.47,-46.4,-98.33,-98.33,-94.4,1.23,-4.44,-2.16,-2
1109 信大,1109,1109,2022/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,18.76,1,0.26,3.1,2.67,-31.63,-64.91,-64.91,-73.84,-71.54,-72.44,-72.44,-70.35,-2.29,3.19,-4.68,-2.48
1109 信大,1109,1109,2021/12/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,18.37,4,0.91,5.15,4.36,-6.71,-23.65,-23.65,-24.92,-24.09,-25.5,-25.5,-25.22,-0.92,3.27,-7.76,-1.4
