m_date,company_id,revenue_release_date,revenue_m,revenue_m_lastyear, revenue_vs_lastyear_ratio, revenue_mom_ratio, revenue_growth_month,cumulative_revenue,cumulative_revenue_lastyear, cumulative_revenue_vs_lastyear_ratio
2023/10/31,6144,2023/11/10,16115 ,16448 ,-2.02 ,-3.53 ,-1 ,154021 ,181775 ,-15.27 
2023/10/31,6146,2023/11/8,380321 ,405350 ,-6.17 ,-5.91 ,-1 ,4057211 ,4234741 ,-4.19 
2023/10/31,6147,2023/11/8,1693370 ,1747557 ,-3.10 ,-0.21 ,-2 ,16946260 ,20374619 ,-16.83 
2023/10/31,6148,2023/11/9,83192 ,33665 ,147.12 ,-32.20 ,-1 ,742739 ,338234 ,119.59 
2023/10/31,6150,2023/11/10,618018 ,255835 ,141.57 ,-0.19 ,-1 ,4247018 ,3977264 ,6.78 
2023/10/31,6151,2023/11/8,124161 ,129622 ,-4.21 ,0.10 ,1 ,1283437 ,1420415 ,-9.64 
2023/10/31,6152,2023/11/8,212756 ,453053 ,-53.04 ,66.28 ,1 ,1869584 ,3282329 ,-43.04 
2023/10/31,6153,2023/11/8,825520 ,1623273 ,-49.14 ,-11.52 ,-3 ,8409946 ,12685796 ,-33.71 
2023/10/31,6154,2023/11/9,294018 ,295063 ,-0.35 ,-10.24 ,-2 ,3154707 ,3791207 ,-16.79 
2023/10/31,6155,2023/11/8,48054 ,62112 ,-22.63 ,39.57 ,1 ,461978 ,652504 ,-29.20 
2023/10/31,6156,2023/11/10,292105 ,345915 ,-15.56 ,-4.78 ,-1 ,2700479 ,3495470 ,-22.74 
2023/10/31,6158,2023/11/1,130822 ,120274 ,8.77 ,-17.74 ,-2 ,1482601 ,1696544 ,-12.61 
2023/10/31,6160,2023/11/10,110470 ,119269 ,-7.38 ,13.50 ,3 ,1165486 ,996934 ,16.91 
2023/10/31,6161,2023/11/6,109120 ,130294 ,-16.25 ,-23.02 ,-1 ,1102082 ,1543774 ,-28.61 
2023/10/31,6163,2023/11/9,198815 ,437491 ,-54.56 ,-70.15 ,-1 ,3749690 ,4152284 ,-9.70 
2023/10/31,6164,2023/11/3,60395 ,54869 ,10.07 ,37.36 ,1 ,595255 ,745453 ,-20.15 
2023/10/31,6165,2023/11/9,245957 ,248818 ,-1.15 ,8.73 ,3 ,2250366 ,2466798 ,-8.77 
2023/10/31,6166,2023/11/10,800360 ,897343 ,-10.81 ,-11.75 ,-1 ,9291202 ,9327846 ,-0.39 
2023/10/31,6167,2023/11/10,120102 ,165023 ,-27.22 ,-8.65 ,-5 ,1494390 ,1828093 ,-18.25 
2023/10/31,6168,2023/11/10,192396 ,183147 ,5.05 ,18.12 ,1 ,1675817 ,2141027 ,-21.73 
2023/10/31,6169,2023/11/8,1950 ,38 ,5031.58 ,1.62 ,4 ,15328 ,2468 ,521.07 
