company_id,market_type,industry,company_name,industry_name,capital
8103 ,TSE,28,瀚荃,電子零組件,789560690
8104 ,TSE,26,錸寶,光電業,746516750
8105 ,TSE,26,凌巨,光電業,4415448510
8107 ,OTC,5,大億金茂,電機機械,750000000
8109 ,OTC,28,博大,電子零組件,816280270
8110 ,TSE,24,華東,半導體,5177398760
8111 ,OTC,26,立碁,光電業,1091022230
8112 ,TSE,29,至上,電子通路業,5286183120
8114 ,TSE,25,振樺電,電腦及週邊,1067489190
8121 ,OTC,28,越峰,電子零組件,2129937430
8131 ,TSE,24,福懋科,半導體,4422222230
8147 ,OTC,28,正淩,電子零組件,331855650
8150 ,TSE,24,南茂,半導體,7272401260
8155 ,OTC,28,博智,電子零組件,512210000
8163 ,TSE,25,達方,電腦及週邊,2800000010
8171 ,OTC,35,天宇,綠能環保,772505250
8176 ,OTC,27,智捷,通信網路業,717010000
8182 ,OTC,28,加高,電子零組件,1070412150
8183 ,OTC,31,精星,其他電子業,1212510680
8201 ,TSE,31,無敵,其他電子業,623662750
8210 ,TSE,25,勤誠,電腦及週邊,1206069500
8213 ,TSE,28,志超,電子零組件,2712424880
8215 ,TSE,26,明基材,光電業,3206745140
8222 ,TSE,5,寶一,電機機械,685735000
8227 ,OTC,24,巨有科技,半導體,373430000
8234 ,OTC,25,新漢,電腦及週邊,1412264720
8240 ,OTC,26,華宏,光電業,1000044140
8249 ,TSE,28,菱光,電子零組件,1490550000
8255 ,OTC,5,朋程,電機機械,1014470000
8261 ,TSE,24,富鼎,半導體,1178904930
8271 ,TSE,24,宇瞻,半導體,1226882660
8277 ,OTC,24,商丞,半導體,916288330
8279 ,OTC,22,生展,生技醫療,271008510
8284 ,OTC,30,三竹,資訊服務業,463420000
8289 ,OTC,28,泰藝,電子零組件,683337650
8291 ,OTC,28,尚茂,電子零組件,473120000
8299 ,OTC,24,群聯,半導體,2044689930
8341 ,TSE,35,日友,綠能環保,1300000000
8342 ,OTC,20,益張,其他,335366920
8349 ,OTC,10,恒耀,鋼鐵工業,1606354820
8354 ,OTC,20,冠好,其他,785322630
8358 ,OTC,28,金居,電子零組件,2525880000
8367 ,TSE,15,建新國際,航運業,877339180
8374 ,TSE,5,羅昇,電機機械,1122504870
8383 ,OTC,31,千附,其他電子業,1137604820
8390 ,OTC,35,金益鼎,綠能環保,960061280
8401 ,OTC,20,白紗科,其他,600416800
8403 ,OTC,22,盛弘,生技醫療,1260442700
8404 ,TSE,20,百和興業-KY,其他,3309370320
8409 ,OTC,22,商之器,生技醫療,320000000
8410 ,OTC,25,森田,電腦及週邊,365892000
8411 ,TSE,20,福貞-KY,其他,2184043190
8415 ,OTC,10,大國鋼,鋼鐵工業,10315000000
8416 ,OTC,30,實威,資訊服務業,282107100
8418 ,OTC,20,捷必勝-KY,其他,783590000
8420 ,OTC,37,明揚,運動休閒,552199890
8421 ,OTC,20,旭源,其他,548171400
8422 ,TSE,35,可寧衛,綠能環保,1091874720
8423 ,OTC,35,保綠-KY,綠能環保,260705310
8424 ,OTC,14,惠普,建材營造,360543680
8426 ,OTC,20,紅木-KY,其他,502425000
8429 ,TSE,18,金麗-KY,貿易百貨,1857471510
8431 ,OTC,31,匯鑽科,其他電子業,443914820
8432 ,OTC,22,東生華,生技醫療,383981400
8433 ,OTC,38,弘帆,居家生活,529614940
8435 ,OTC,20,鉅邁,其他,317004500
8436 ,OTC,22,大江,生技醫療,1182648300
8437 ,OTC,20,大地-KY,其他,478510700
8438 ,TSE,35,昶昕,綠能環保,699430000
8440 ,OTC,35,綠電,綠能環保,380002250
8442 ,TSE,20,威宏-KY,其他,611125490
8443 ,TSE,18,阿瘦,貿易百貨,668000000
8444 ,OTC,20,綠河-KY,其他,897668450
8446 ,OTC,32,華研,文化創意業,529144050
8450 ,OTC,32,霹靂,文化創意業,513099470
8454 ,TSE,36,富邦媒,數位雲端,2403403860
8455 ,OTC,31,大拓-KY,其他電子業,252190560
8462 ,TSE,37,柏文,運動休閒,793953540
8463 ,TSE,20,潤泰材,其他,1500000000
8464 ,TSE,38,億豐,居家生活,2930202000
8466 ,TSE,20,美吉吉-KY,其他,660590000
8467 ,TSE,37,波力-KY,運動休閒,512330080
8472 ,OTC,36,夠麻吉,數位雲端,177358000
8473 ,TSE,35,山林水,綠能環保,1470039780
8476 ,OTC,35,台境,綠能環保,814835090
8477 ,OTC,36,創業家,數位雲端,340928380
8478 ,TSE,37,東哥遊艇,運動休閒,888862760
8481 ,TSE,20,政伸,其他,666018660
8482 ,TSE,38,商億-KY,居家生活,1104440000
8488 ,TSE,20,吉源-KY,其他,675000000
8489 ,OTC,20,三貝德,其他,377524140
