公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,date,Year,股價變化,股價變化率
3308 聯德,3308,3308,2023-03-31,28,電子零組件,M23D,TEJT11  電子- 電源供應器,18.3,1.0,5.19,40.69,18.02,153.39,867.69,867.69,140.19,3794.08,1895.57,3166.25,897.35,47.44,59.75,2.27,20.95,2023-03-31,2023,11.7,26.65
3325 旭品,3325,3325,2023-03-31,25,電子零組件,M23D,TEJT12  電子- 機殼,14.0,1.0,-0.28,-3.0,-1.53,21.78,1517.38,1517.38,45.07,24.1,19.55,19.55,17.55,0.21,-9.01,19.26,0.5,2023-03-31,2023,0.8,2.42
3332 幸康,3332,3332,2023-03-31,28,電子零組件,M23D,TEJT11  電子- 電源供應器,41.23,1.0,1.11,2.52,1.77,16.81,33.21,33.21,61.98,46.35,29.39,29.39,29.69,24.1,15.13,137.19,0.73,2023-03-31,2023,-0.5,-1.08
3346 麗清,3346,3346,2023-03-31,12,光電/ IO,M23C,TEJT06  電子- LED,42.9,1.0,0.28,1.58,0.53,1.03,15.81,15.81,581.13,53.78,98.52,98.52,125.03,7.02,11.49,17.93,0.23,2023-03-31,2023,4.04,8.8
3380 明泰,3380,3380,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,33.63,1.0,0.32,1.46,0.71,14.46,7.57,7.57,16.11,2.54,16.02,16.02,-3.38,-2.88,1.79,18.36,0.23,2023-03-31,2023,2.95,8.08
3416 融程電,3416,3416,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,98.73,1.0,1.51,5.46,3.7,6.52,28.09,28.11,49.03,26.45,27.65,27.65,27.18,6.81,5.78,0.02,0.6,2023-03-31,2023,-10.5,-8.17
3419 譁裕,3419,3419,2023-03-31,27,通訊設備,M23K,TEJT15  電子- 網通,19.2,1.0,-0.26,-2.07,-1.26,6.85,39.64,39.64,21.94,-29.51,-21.42,-21.42,-21.42,-8.15,3.78,-2.11,-0.08,2023-03-31,2023,1.6,8.78
3432 台端,3432,3432,2023-03-31,28,電子零組件,M23D,TEJT10  電子- 連接器,19.05,1.0,-0.03,-1.65,-1.51,40.08,33.92,33.92,18.73,-104.68,-105.49,-105.49,-129.92,-74.94,-73.95,,-8.1,2023-03-31,2023,0.5,4.5
3443 創意,3443,3443,2023-03-31,24,半導體,M23G,TEJT17  電子- IC設計,1075.1,1.0,6.97,10.95,4.46,44.63,28.0,28.0,74.25,69.53,71.3,71.3,70.75,41.91,54.33,0.25,1.81,2023-03-31,2023,215.0,17.0
3447 展達,3447,3447,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,59.46,1.0,0.72,4.26,1.47,16.65,49.57,49.57,205.52,70.76,84.98,84.98,75.72,2.22,28.0,17.51,0.76,2023-03-31,2023,0.45,1.09
3454 晶睿,3454,3454,2023-03-31,26,光電/ IO,M23C,TEJT09  電子- 其他光電,253.13,1.0,1.52,3.63,2.04,29.74,6.68,6.68,-34.56,16.63,29.87,29.87,-38.06,9.34,21.43,-0.14,0.42,2023-03-31,2023,-8.5,-5.03
3466 致振,3466,3466,2023-03-31,27,通訊設備,M23K,TEJT15  電子- 網通,32.0,1.0,-0.33,-1.81,-1.03,178.2,452.54,452.54,52.17,7.72,7.72,7.72,-31.61,32.63,0.88,-0.87,0.19,2023-03-31,2023,2.05,8.93
3479 安勤,3479,3479,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,91.33,1.0,2.56,6.23,3.43,25.98,43.98,43.98,78.43,72.74,74.52,74.52,74.52,15.97,17.39,1.48,1.6,2023-03-31,2023,0.9,0.91
3494 誠研,3494,3494,2023-03-31,25,資訊通路,M23T,TEJT20  電子- 資訊通路,10.7,1.0,-0.34,-5.83,-2.28,35.92,364.41,364.41,53.2,39.8,39.52,39.52,39.83,-3.2,-14.55,-7.19,1.35,2023-03-31,2023,0.05,0.74
3516 亞帝歐,3516,3516,2023-03-31,26,家電製品,M15C,TEJN07  傳產- 電機及家電,18.09,1.0,0.03,0.58,0.35,3.97,21.47,21.47,-2791.18,-75.23,-76.96,-76.96,-111.13,22.17,6.93,13.2,0.0,2023-03-31,2023,1.61,9.72
3521 鴻翊,3521,3521,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,23.65,1.0,-0.67,-8.87,-3.57,3.35,21.26,21.26,-58.14,-159.96,-152.76,-152.76,-154.48,-6.06,19.62,4.58,-1.91,2023-03-31,2023,-0.5,-2.19
