公司,年月,證期會代碼,季別,財報發布日,每股盈餘,當季季底P/B,當季季底PSR,當季季底P/E,ROA(C)稅前息前折舊前,ROA(A)稅後息前,ROA(B)稅後息前折舊前,ROE(A)－稅後,ROE(B)－常續利益,營業利益率,營業利益成長率,營業利益變動率,營業利益 /實收資本比,常續利益率－稅後,淨利變動率（單季）,稅前息前折舊前淨利率,稅前淨利率,稅前淨利成長率,稅後淨利率,稅後淨利成長率,季底普通股市值,營收成長率,營收變動率,淨值/資產,總資產成長率,總資產週轉次數,業外收支/營收,營業毛利率,營業毛利成長率,已實現銷貨毛利成長率,已實現銷貨毛利率,自由現金流量(D),營業收入淨額,股東權益總額,來自營運之現金流量
4174 浩鼎,2023/9/28,4174,3,2023/11/13,-2.48,4.32,791.1,,-22.79,-9.74,-9.32,-10.59,-11.08,"-5,385.11",-2.93,-11.78,-26.93,"-5,590.97",-282.99,"-4,845.83","-5,462.69",-38.04,"-5,346.07",-35.33,"18,699,279",967.53,16.3,89.68,-12.82,0,-77.58,-187,-163.44,-163.44,-187,"-294,950","11,476","5,505,944","-446,473"
4175 杏一,2023/9/28,4175,3,2023/11/10,0.34,2.61,0.51,51.31,2.91,0.35,2.3,1.01,1.02,1.18,-50.71,81.64,5.16,0.79,665.63,11.68,1.09,-58.7,0.78,-64.09,"3,760,072",8.24,0.56,18.74,19.19,0.25,-0.09,30.51,4.55,4.55,30.51,"98,499","1,847,808","1,444,152","510,783"
4183 福永生技,2023/9/28,4183,3,2023/11/8,0.43,1.58,1.12,23.25,3.19,1.94,2.55,3.47,3.56,7.79,-29.58,870.02,3.81,9.09,146.46,14.98,11.16,-31.87,8.87,-32.36,"476,000",-20.56,3.46,53.82,3.56,0.21,3.36,25.95,-18.22,-18.22,25.95,734,"116,279","301,940","15,273"
4188 安克,2023/9/28,4188,3,2023/11/8,-0.2,2.86,20.1,,-1.37,-2.23,-1.54,-2.38,-2.35,-89.33,21.42,-1.71,-2.63,-73.52,2.91,-46.49,-74.52,17.09,-74.52,17.09,"1,118,376",18.46,0.6,93.41,-8.72,0.03,14.81,65.33,38.91,38.91,65.33,"1,729","15,705","485,333","-10,617"
4190 佐登-KY,2023/9/28,4190,3,2023/11/13,-0.69,1.87,1.3,202.39,2.08,-0.37,1.56,-1.94,-1.88,-6.31,-220.24,-182.3,-6.96,-5.98,-188.65,24.91,-5.48,"-3,531.05",-6.15,-189.86,"4,045,187",1.78,-16.81,27.04,-1.48,0.09,0.83,65.93,0.74,0.74,65.93,"78,247","677,863","2,157,662","76,536"
4192 杏國,2023/9/28,4192,3,2023/11/9,-0.96,8.25,72.39,,-7.56,-8.98,-7.85,-16.11,-16.11,-482.56,-10.82,-8.63,-9.08,-509.3,-11.64,-428.43,-509.3,3.67,-509.3,3.67,"1,383,480",29.04,27.81,59.97,-52.75,0.02,-26.74,59.45,33.8,33.8,59.45,100,"5,786","167,736","-13,724"
4198 欣大健康,2023/9/28,4198,3,2023/11/13,-0.41,4.24,2.57,,0.84,-1.03,0,-2.81,-2.84,-13.39,47.78,62.56,-4.38,-8.28,77.09,2.14,-8.2,-150.15,-8.2,-150.15,"603,905",0.81,64.76,44.25,9.98,0.15,5.19,24.46,8.72,8.72,24.46,"-35,116","78,867","245,632","-24,259"
4205 中華食,2023/9/28,4205,3,2023/11/8,1.01,4.73,4.58,20.08,5.02,3.86,4.05,4.92,4.88,22.08,-3.95,15.27,12.59,17.65,12.65,23.52,22.21,-3.41,17.77,-3.41,"8,877,200",5.37,8.35,83.08,6.11,0.22,0.14,37.03,-4.55,-4.55,37.03,"-7,446","506,456","1,875,101","88,625"
4207 環泰,2023/9/28,4207,3,2023/11/13,0.26,1.35,0.61,8.1,2.48,1.42,2.03,2.16,2.13,7.28,31.81,-26.1,5.07,5.35,-23.5,11.7,7.25,40.67,5.43,23.19,"3,202,830",0.58,-6.27,58.12,4.48,0.23,-0.03,13.11,14.74,14.74,13.11,"117,807","1,302,685","3,327,486","142,799"
4303 信立,2023/9/28,4303,3,2023/11/10,0.04,1.46,6.6,,-3.47,0.34,0.4,0.33,-0.13,-24.83,-245.19,17.23,-1.31,-3.25,-89.7,33.32,8.1,178.86,8.1,178.86,"1,289,250",-50.68,5.94,57.74,8.67,0.02,32.93,-2.33,-106.38,-106.38,-2.33,"-43,176","35,612","886,079","7,235"
4304 勝昱,2023/9/28,4304,3,2023/11/14,0.01,1.68,0.54,,1.11,0.28,0.96,0.11,0.11,-19.11,8.88,-74.55,-4.08,0.26,102.33,8.03,-0.08,99.65,0.26,101.18,"313,531",-43.96,-50.9,32.68,-6.44,0.14,19.03,3.4,-34.92,-34.92,3.4,"10,206","77,043","186,317","13,151"
4305 世坤,2023/9/28,4305,3,2023/11/9,1.13,1.64,2.06,9.45,6.24,4.83,4.99,5.75,5.75,18.77,286.33,30.72,8.66,24.56,35.57,31.69,30.7,33.58,24.56,33.52,"1,831,966",36.72,17.28,88.32,5.34,0.2,11.92,26.21,116.61,116.61,26.21,728,"253,713","1,114,993","4,661"
4306 炎洲,2023/9/28,4306,3,2023/11/13,0.38,0.92,0.87,14.57,1.57,0.96,1.33,2.14,2.18,5.54,-30.89,0.89,2.67,8.31,-4.46,14.97,9.42,-30.41,8.17,-9.2,"10,696,498",-11.29,1.84,40.34,1.68,0.1,3.88,18.08,-9.88,-9.88,18.08,"-156,769","3,159,956","12,321,259","-290,246"
4401 東隆興,2023/9/28,4401,3,2023/11/13,0.14,0.88,0.86,,2.12,0.45,1.68,0.66,0.66,0.82,-74.09,144.54,0.49,2.47,"4,157.18",17.19,3.18,-66.58,2.47,-67.59,"2,325,013",-27.71,3.8,45.79,-2.58,0.12,2.36,6.32,-57.13,-57.13,6.32,"126,886","722,183","2,708,391","151,446"
4402 福大,2023/9/28,4402,3,2023/11/10,0.08,1.73,,,1.21,1.16,1.69,1.45,1.42,-68.86,-169.37,-41.77,-3.02,18.73,192.05,25.53,5.06,-89.9,19.18,-45.15,"464,519",-50.39,37.23,88.15,-49.41,0.05,73.92,-27.02,-255.75,-255.75,-27.02,"11,035","20,153","267,934","24,229"
4406 新昕纖,2023/9/28,4406,3,2023/11/13,-0.09,0.76,1.17,,-0.12,-0.5,-0.05,-0.7,-0.48,-12.4,-364.92,-15.82,-2.53,-3.03,-134.02,-1.16,-4.48,-146.82,-4.48,-146.82,"510,295",-32.58,17.33,76.03,3.81,0.12,7.92,-5.38,-214.88,-214.88,-5.38,"1,199","105,791","671,018","-36,017"
4413 飛寶企業,2023/9/28,4413,3,2023/11/13,0.58,1.31,1.02,21.02,4.06,3.77,3.99,5.12,5.12,5.69,20.3,18.68,2.3,14.21,48.76,15.64,14.21,-18.31,14.21,-18.31,"472,841",-30.74,2.39,74.26,2.47,0.26,8.52,22.11,10.82,10.82,22.11,121,"126,865","361,366","23,916"
4414 如興,2023/9/28,4414,3,2023/11/13,-0.01,0.84,0.22,,1.07,0.86,1.45,0.6,-0.03,2.92,155.86,272.23,1.32,-0.03,150.2,7.12,0.58,109.94,0.64,109.94,"3,179,509",-21.5,8.28,31.51,-29.22,0.28,-2.33,16.62,-18.3,-18.3,16.62,"-219,587","3,826,213","4,171,266","254,434"
4416 三圓,2023/9/28,4416,3,2023/11/10,-0.15,2.95,49.3,,0.23,0.11,0.16,-0.53,-0.53,26.15,4.84,24.56,1.07,-34.62,-158.78,133.19,-24.39,95.79,-34.62,92.8,"4,881,210",4.84,2.92,11.58,0.71,0,-50.54,57.98,8.75,8.75,57.98,"-259,842","25,328","1,655,198","45,206"
4417 金洲,2023/9/28,4417,3,2023/11/10,1.03,1.2,1.05,6.46,3.09,1.88,2.4,2.67,2.64,17.04,-17.38,49.12,16.25,10.37,13.62,19.03,13.74,-35.21,10.49,-30.26,"3,337,847",-12.62,2.34,65.79,2.67,0.16,-3.29,26.46,-21.13,-21.13,26.46,"15,623","800,847","3,206,193","3,166"
4419 元勝,2023/9/28,4419,3,2023/11/13,-0.04,13.77,2.6,142.11,2.74,-0.97,0.57,-4.85,-4.85,-5.62,13.07,-314.3,-1.3,-6.83,-115.65,5.51,-6.42,3.72,-6.83,-7.65,"959,799",52.17,-4.49,28.89,5.02,0.21,-0.8,28.21,-1.38,-1.38,28.21,"4,788","88,217","121,174","10,816"
4420 光明,2023/9/28,4420,3,2023/11/9,-0.68,1.19,1.7,,0.09,-0.82,0.04,-2.69,-1.59,-5.91,-383.77,39.33,-2.51,-9.56,-2.24,-3.49,-16.23,-640.31,-16.1,-589.38,"1,213,650",-27.16,11.27,38.74,-4.08,0.07,-10.32,-0.29,-103.29,-103.29,-0.29,"9,959","171,777","1,015,771","-42,883"
4426 利勤,2023/9/28,4426,3,2023/11/14,0.12,1.29,2.48,86.79,2.16,0.58,1.64,0.77,0.77,-0.68,92.53,92.33,-0.14,5.92,290.77,29.27,8.9,-2.31,5.92,-3.83,"3,548,512",-6.79,34.48,56.09,-1.89,0.07,9.58,19.21,44.87,44.87,19.21,"-107,743","354,530","2,741,697","77,749"
4430 耀億,2023/9/28,4430,3,2023/11/10,-0.77,0.63,0.65,,0.12,-0.92,0.11,-2.23,-2.24,-13.03,-92.49,-24.41,-10.62,-9.45,-34.28,1.22,-11.72,-903,-9.42,-748.65,"1,221,124",-5.36,0.33,50.65,-7.33,0.12,1.32,12.05,-38.29,-38.29,12.05,"56,387","458,696","1,925,952","17,524"
4432 銘旺實,2023/9/28,4432,3,2023/11/13,1.03,0.92,1.01,8.95,4.96,3.36,3.73,3.94,3.94,10.33,-32.13,48.24,6.64,16.04,75.72,23.82,21.58,-20.76,16.04,-28.43,"1,254,607",-23.55,9.43,83.48,4.94,0.21,11.24,24.23,-22.72,-22.72,24.23,"-8,227","324,910","1,357,225","46,053"
4433 興采,2023/9/28,4433,3,2023/11/14,0.85,0.99,0.7,67.74,1.67,0.93,1.44,2.4,2.4,5.03,11.16,164.72,6.2,6.63,192.21,13.48,7.03,-25.45,6.63,13.3,"1,912,529",-2.89,36.58,32.23,28.43,0.12,2,24.44,12.4,12.4,24.44,"-107,595","754,444","2,109,028","351,392"
4438 廣越,2023/9/28,4438,3,2023/11/3,6.29,1.41,0.63,8.7,5.5,3.95,4.41,7.13,7.19,9.66,-30.65,57.34,60.83,10.94,135.59,15.84,13.75,-31.41,10.87,-31.1,"11,635,313",-16.34,37.03,55.9,-14.02,0.35,4.09,16.11,-24.9,-24.9,16.11,"-165,950","6,513,422","10,336,835","2,025,861"
4439 冠星-KY,2023/9/28,4439,3,2023/11/8,1.47,1.41,0.87,7.85,2.59,1.15,1.82,1.72,1.64,7.17,-37.37,-51.61,23.63,4.17,-69.57,10.23,6.44,-45.41,4.38,-55.83,"4,652,600",-34.27,-15.23,63.89,6.22,0.25,-0.73,21.53,-22.36,-22.36,21.53,"-314,289","1,262,929","3,291,625","229,877"
4440 宜新實業,2023/9/28,4440,3,2023/11/13,0.08,1.44,1.73,24.5,1.05,0.4,0.88,0.44,0.6,3.3,-84.34,105.46,1.3,2.87,-25.49,8.25,2.62,-87.85,2.14,-87.72,"1,842,046",-32.96,19.27,57.92,-4.44,0.12,-0.68,8.51,-69.66,-69.66,8.51,"3,096","265,681","1,281,896","-44,897"
4442 竣邦-KY,2023/9/28,4442,3,2023/11/14,0.02,,,,1.14,0.1,0.78,0.11,0.19,-1.2,42.46,-127.46,-1.07,0.37,-96.38,3.22,0.78,117.47,0.21,23.68,,5.56,-8.54,66.86,2.39,0.34,1.99,21.56,-5.19,-5.19,21.56,"-7,338","218,914","442,639","14,176"
4502 健信,2023/9/28,4502,3,2023/11/14,0.53,3.24,1.51,,2.45,1.77,2.07,4.6,2.29,4,232.69,535.58,3.04,3.41,"6,544.30",17.96,6.9,526.88,6.85,540.55,"2,138,485",4.82,23.99,25.07,1.21,0.17,2.9,19.12,38.22,38.22,19.12,"85,959","442,143","670,722","-49,401"
4503 金雨,2023/9/28,4503,3,2023/11/13,-0.2,3.3,12.75,,-0.12,-1.16,-0.35,-1.32,-1.19,-22.98,-10,17.07,-3.04,-13.67,28.56,-3.02,-14.41,-30.14,-15.22,-73.97,"3,009,619",56.02,42.62,88.82,40.1,0.08,8.57,-6.2,25.95,25.95,-6.2,"8,270","79,897","915,488","-53,790"
4506 崇友,2023/9/28,4506,3,2023/11/9,1.37,2.76,2.69,13.54,2.82,2.66,2.79,4.9,4.88,19.8,13.28,12.85,15.61,17.34,-0.8,22.81,21.63,3,17.41,2.2,"14,019,350",4.78,-3.15,56.33,4.83,0.15,1.84,30.71,9.22,9.22,30.71,893,"1,395,600","5,075,626","346,094"
4510 高鋒,2023/9/28,4510,3,2023/11/10,0.68,0.9,0.85,13.66,2.59,1.79,2.08,3.89,3.92,11.48,216.68,78.67,6.42,12.25,137.63,20.4,15.45,101.26,12.17,122.02,"1,701,158",6.14,12.19,40.78,-5.72,0.13,3.97,25.36,20.76,20.76,25.36,"140,399","603,720","1,901,751","182,150"
4513 福裕,2023/9/28,4513,3,2023/11/13,2.02,1.51,1.09,,-0.8,6.37,-1.65,17.22,-7.02,-13.56,"-1,065.37",-340.02,-5.86,-19.08,"2,786.73",59.76,51.9,"2,648.53",46.8,"3,443.79","1,495,316",-16.48,-11.67,37.51,3.29,0.13,65.46,19.57,-40.52,-40.52,19.57,"93,402","332,366","990,244","63,330"
4523 永彰,2023/9/28,4523,3,2023/11/14,-0.16,2.92,5.22,,-9.13,-1.04,-0.83,-2.29,-2.28,-21.51,-12.3,8.37,-4.59,-18.56,60.14,-11.3,-18.29,-1.17,-18.64,6.71,"2,876,800",2.35,-9.44,53.23,74.63,0.06,3.22,24.17,3.33,3.33,24.17,"-84,750","136,544","1,130,535","-127,918"
4526 東台,2023/9/28,4526,3,2023/11/14,0.04,0.86,0.55,76.69,0.93,0.41,0.83,0.58,0.57,-0.86,-116.84,-138.98,-0.66,1.64,68.23,6.95,1.22,-83.53,1.67,-70.75,"4,344,783",-10.88,-2.23,38.85,-4.31,0.13,2.07,21.4,-16.86,-16.86,21.4,"10,371","1,963,891","5,764,051","79,129"
4527 方方土霖,2023/9/28,4527,3,2023/11/9,0.7,1.77,0.82,8.86,2.85,1.91,2.34,3.68,3.69,6.83,10.04,10.85,8.01,6.56,18.68,10.16,8.09,15.91,6.55,19.14,"2,695,781",17.23,29.82,50.1,5.34,0.28,1.26,18.65,-2.15,-2.15,18.65,"-31,368","892,760","1,626,115","140,739"
4528 江興鍛,2023/9/28,4528,3,2023/11/10,0.27,1.18,1.31,22.78,2.24,0.69,1.83,1.04,1.04,3.68,-10.53,28.23,2.17,4.63,58.93,17.75,5.41,76.49,4.63,19.48,"2,672,239",-26.42,10.35,57.17,-11.77,0.13,1.72,17.31,-24.25,-24.25,17.31,"17,739","495,970","2,260,638","73,754"
4529 淳紳,2023/9/28,4529,3,2023/11/13,-0.13,1.68,184.32,,-1.53,-2.11,-1.84,-2.21,-2.26,-626.76,57.81,49.12,-1.19,-719.71,32.43,-572.86,-706.18,67.4,-706.18,67.4,"835,344",207.68,86.83,95.99,-34.88,0,-79.41,25.08,124.92,124.92,25.08,"-5,152","1,603","498,828","-6,625"
4530 宏易,2023/9/28,4530,3,2023/11/14,-0.26,1.74,2,,-0.32,-3.75,-0.95,-5.5,-4.32,-26,-894.41,-35.95,-2.19,-22.95,0.07,-8.69,-28.41,-403.34,-29.23,-474.13,"346,059",-28.24,-1.17,70.44,-16.7,0.13,-2.41,26.05,-53.87,-53.87,26.05,"7,981","41,561","214,797","-5,891"
4532 瑞智,2023/9/28,4532,3,2023/11/10,0.43,1,0.61,10.8,1.95,0.98,1.58,2.03,1.87,4.55,166.01,-31.96,3.66,5.04,-17.47,12.59,7.2,67.25,5.45,55.04,"9,820,597",6.83,-9.83,45.44,-2.85,0.17,2.65,14.46,35.71,35.71,14.46,"1,333,258","4,067,174","11,264,768","546,800"
4533 協易機,2023/9/28,4533,3,2023/11/13,0.43,1.55,1.17,17.6,1.46,1.24,1.52,2.63,2.54,-2.64,-151.29,-116.95,-1.22,8.99,-48.99,15.3,10.76,-30.18,9.3,-4.01,"4,087,597",-40.15,-25.27,42.81,-2.92,0.12,13.4,28.66,-18.52,-18.52,28.66,"12,602","731,120","2,634,699","153,626"
4534 慶騰,2023/9/28,4534,3,2023/11/13,-0.14,1.25,1.23,,1.2,-0.7,0.63,-1.7,-1.7,-12.43,39.76,55.13,-2.39,-7.06,71.85,8.04,-7.05,23.92,-7.05,38.72,"863,541",-20.1,-3.34,52.2,-17.18,0.13,5.38,9.19,10.39,10.39,9.19,"-3,970","166,744","691,970","59,820"
4535 至興,2023/9/28,4535,3,2023/11/13,0.61,1.14,0.96,7.79,4.08,2.21,3.1,2.63,2.62,10.29,-16.02,6.83,9.82,9.81,27.1,18.4,13.29,-10.87,9.88,-9.17,"2,776,759",-10.78,7.88,84.94,0.43,0.22,3,18.65,-6.11,-6.11,18.65,"23,047","722,230","2,753,899","190,072"
4536 拓凱,2023/9/28,4536,3,2023/11/13,4.19,1.9,1.48,6.62,4.43,2.94,3.43,4.91,4.81,16.92,-53.18,-28.76,37.02,19.6,-20.95,32.44,26.29,-56.85,20.02,-56.01,"15,121,530",-37.32,-20.59,57.69,-17.02,0.14,9.37,32.84,-41.22,-41.22,32.84,"-285,233","1,987,200","8,367,970","1,374,219"
4538 大詠城,2023/9/28,4538,3,2023/11/9,0.01,1.27,2.21,11.82,1.1,0.09,1.45,0.08,0.98,7.05,-79.51,-47.71,1.18,8.69,-94.71,9.53,1.39,-96.23,0.67,-97.73,"1,098,938",-45.32,-11.28,85.96,2.89,0.1,-5.66,17.87,-61.35,-61.35,17.87,"5,103","95,980","862,101","-75,296"
4540 全球傳動,2023/9/28,4540,3,2023/11/8,0.29,0.89,1.07,41.04,1.69,0.53,1.26,0.83,0.83,-5.74,-130.75,-182.19,-3.8,4.48,190.99,22.15,7.09,-68.93,4.46,-73.93,"3,045,056",-26.97,-15.28,41.69,1.23,0.08,12.83,19.71,-48.87,-48.87,19.71,"9,420","630,000","3,403,539","-114,366"
4541 晟田,2023/9/28,4541,3,2023/11/8,-0.04,1.46,1.87,,1.62,0.08,1.29,-0.18,-0.18,-9.19,-238.86,14.22,-4.25,-0.89,74.3,20.4,-1.07,-105.27,-0.88,-105.43,"2,296,616",-20.83,3.85,39.98,-4.52,0.08,8.12,2.95,-84.18,-84.18,2.95,"57,437","313,002","1,572,184","126,596"
4542 科嶠,2023/9/28,4542,3,2023/11/13,1.49,3.55,2.77,24.71,4.96,3.56,3.91,6.99,6.99,20.41,"2,368.88",96.72,14.06,21.29,122.28,30.67,27.06,267.72,21.29,188.39,"2,485,945",33.92,12.54,50,7.28,0.16,6.65,41.9,85.14,85.14,41.9,"3,486","222,378","705,950","19,571"
4543 萬在,2023/9/28,4543,3,2023/11/9,0.8,1.33,2.72,12.99,2.85,1.87,2.3,2.65,2.65,10.85,-57.29,-50.59,3.34,25.45,-17.88,41.21,32.16,-41.52,25.45,-43.29,"2,261,709",-40.71,-31.57,69.05,-1.09,0.07,21.3,29.31,-39.17,-39.17,29.31,"40,515","175,173","1,700,921","75,253"
4545 銘鈺,2023/9/28,4545,3,2023/11/3,0.77,1.2,1.03,14.29,3.51,1.96,2.65,3.18,3.09,10.8,21.29,51.87,7.06,11.43,35.17,22.75,16.04,-1.73,11.74,-4.46,"2,279,200",-16,-2.41,60.49,-7.08,0.16,5.24,26.13,-2.33,-2.33,26.13,"-15,543","502,998","1,898,589","244,659"
4549 桓達,2023/9/28,4549,3,2023/11/13,1.59,2.79,3.53,13.95,5.17,3.9,4.31,5.17,5.13,27.06,-9.59,16.81,17.46,24.42,27.96,35.95,32.18,-10.79,24.62,-9.67,"4,843,259",-21.89,5.78,79.6,-3.07,0.16,5.12,56.91,-8.86,-8.86,56.91,"-2,754","353,491","1,733,271","70,891"
4550 長佳,2023/9/28,4550,3,2023/11/10,1.26,1.23,0.63,7.58,4.3,2.33,3.44,5.44,5.44,9.93,50.26,137.76,15.46,8.07,117.19,15.11,10.11,37.5,8.07,37.22,"1,104,870",72.81,62.54,42.44,22.7,0.28,0.18,14.86,22.21,22.21,14.86,"5,247","589,142","898,883","129,922"
4551 智伸科,2023/9/28,4551,3,2023/11/6,1.52,1.94,2.03,15.47,3.19,1.41,2.44,2.22,2.21,8.36,-65.74,-4.62,13.08,9.67,32.39,23.37,13.2,-56.82,9.71,-58.63,"15,670,192",-24.13,-1.96,60.56,-2.11,0.14,4.84,23.06,-36.93,-36.93,23.06,"-42,475","1,803,469","8,061,605","343,672"
4552 力達-KY,2023/9/28,4552,3,2023/11/9,0.73,0.67,0.8,6.46,2.28,1.14,1.47,1.47,1.47,9.17,-35.24,-21.34,11.81,5.7,-24.42,11.59,9.17,-36.22,5.7,-40.64,"3,996,200",0.07,16.28,74.06,5.22,0.19,0,21.44,-4.9,-4.9,21.44,"-92,702","1,493,796","5,942,615","-84,014"
4554 橙的,2023/9/28,4554,3,2023/11/10,0.49,1.49,2.04,189.85,3.01,1.8,2.29,2.72,2.73,5.18,160.49,158.53,2.11,12.15,64.03,20.81,16.17,581.84,12.1,508.28,"633,706",15.79,12.83,64.67,2.29,0.14,10.98,40.27,42.56,42.56,40.27,-2,"94,760","426,479","1,829"
4555 氣立,2023/9/28,4555,3,2023/11/8,-0.27,1.31,2.65,311.31,0.62,-0.31,0.46,-0.66,-0.65,-6.98,-160.95,-602.56,-3.12,-6.17,-323.97,8.88,-7.26,-155.61,-6.22,-138.97,"3,763,696",-34.27,-20.16,65.52,-5.14,0.07,-0.28,24.95,-52.06,-52.06,24.95,"-31,713","309,875","2,957,422","36,530"
4556 旭然,2023/9/28,4556,3,2023/11/13,0.08,1.48,2.03,43.35,1.48,0.41,1.1,0.42,0.38,7.32,-58.72,-1.86,2.78,2.02,-59.19,16.16,3.91,-78.62,2.21,-80.67,"1,250,237",-25.2,1.35,50.06,-9.96,0.09,-3.41,40.02,-20.89,-20.89,40.02,"9,402","158,901","847,757","12,498"
4557 永新-KY,2023/9/28,4557,3,2023/11/8,2.49,2.3,1.55,9.99,4.43,2.88,3.53,4.93,4.94,15.46,-31.12,-11.44,29.73,13.07,-24.95,21.61,16.36,-48.14,13.05,-49.65,"4,700,752",-3.03,-4.7,56.17,12.19,0.2,0.9,33.06,-7.53,-7.53,33.06,"-59,350","806,997","2,236,591","-2,423"
4558 寶緯,2023/9/28,4558,3,2023/11/13,0.79,1.51,0.84,36.88,3.16,1.98,2.52,4.47,4.47,8.94,567.96,592.31,10.19,6.89,460.5,12.04,8.61,465.19,6.89,525.22,"1,352,500",14.37,39.07,40.52,-5.66,0.26,-0.33,12.45,554.82,554.82,12.45,"3,284","569,933","897,919","110,732"
4560 強信-KY,2023/9/28,4560,3,2023/11/10,0.15,1.39,1.93,21.76,1.42,0.56,1.21,0.58,0.71,4.93,-80.58,-27.24,2.26,3.89,-76.92,9.62,3.41,-88.06,3.18,-85.76,"2,424,253",-30.99,-7.15,78.29,-10.78,0.14,-1.52,31.2,-47.67,-47.67,31.2,"-23,743","311,852","1,748,622","67,142"
4561 健椿,2023/9/28,4561,3,2023/11/10,1.3,1.34,1.43,10.09,4.88,3.3,3.9,6.43,6.43,22.53,136.16,69.42,13.86,21.08,158.68,32.23,26.35,117.23,21.08,117.22,"1,635,662",33.69,18.97,50.3,0.08,0.15,3.82,32.11,92.51,92.51,32.11,"6,356","360,124","1,218,701","81,071"
4562 穎漢,2023/9/28,4562,3,2023/11/13,0.08,1.21,1.7,,0.98,0.4,0.79,0.46,0.46,-2.81,63.35,77.44,-0.67,2.44,113.36,11.11,3.03,-33.98,2.44,-2.89,"1,326,322",-3.13,34.81,46.92,-7.02,0.09,5.83,34.73,8.78,8.78,34.73,"41,932","208,876","1,106,128","-1,407"
4563 百德,2023/9/28,4563,3,2023/11/2,0.41,2.05,1.14,17.16,2.26,0.75,1.58,1.58,1.59,3.24,0.8,-64.53,4.21,3.15,-51.81,12.42,5.42,-21.35,3.14,-47.41,"2,939,825",6.44,8.07,36.27,-3.08,0.18,2.18,22.61,-9.13,-9.13,22.61,"-563,569","713,125","1,435,098","-15,550"
4564 元翎,2023/9/28,4564,3,2023/11/8,-0.3,1.18,3.66,,0.77,-0.61,0.43,-1.35,-1.35,-20.79,-330.17,25.56,-3.36,-18.29,43.97,18.75,-17.12,-541.4,-18.29,"-1,374.16","5,242,070",-30.16,-8.48,54.48,3.96,0.04,3.67,-6.86,-187.58,-187.58,-6.86,"-536,549","327,580","4,433,241","154,522"
4566 時碩工業,2023/9/28,4566,3,2023/11/10,1.47,1.31,1.15,13.47,2.54,1.73,2.22,3.67,3.7,7.37,-32.88,120.78,8.55,12.67,60.03,21.03,14.9,-26.15,12.57,-21.17,"5,075,720",-22.39,3.38,45.13,7.85,0.13,7.53,23.63,-18.33,-18.33,23.63,"-182,304","1,053,843","3,881,364","259,490"
4568 科際精密,2023/9/28,4568,3,2023/11/9,0.92,1.55,1.64,54.02,4.22,1.83,2.78,2.7,2.85,8.33,-2.47,12.88,8.4,9.51,266.21,16.28,11.02,-56.01,9.02,-48.59,"1,706,400",-6.05,15.27,66.7,-11.35,0.2,2.69,31.02,-6.87,-6.87,31.02,"-17,868","322,669","1,100,901","93,063"
4569 六方科-KY,2023/9/28,4569,3,2023/11/13,1.24,1.19,2.64,22.29,2.7,1.41,2.59,1.54,1.41,0.43,-98.2,-93.17,0.41,11.48,-22.19,27.12,12.56,-71.31,12.56,-71.31,"3,100,000",-20.6,6.9,91.81,14.38,0.11,12.13,16.35,-58.57,-58.57,16.35,"-334,760","296,616","2,606,012","105,362"
4571 鈞興-KY,2023/9/28,4571,3,2023/11/14,1.19,1.46,1.64,11.69,3.84,1.9,2.73,2.45,2.35,14.04,168.03,183.38,17.1,9.28,-25.66,21.56,14.37,-8.65,9.68,-36.11,"3,840,120",8.29,29.58,73.72,-3.85,0.18,0.32,29.18,30.76,30.76,29.18,"-55,780","649,588","2,636,026","151,572"
4572 駐龍,2023/9/28,4572,3,2023/11/7,1.92,3.37,7.8,21.67,4.88,3.3,3.89,4.14,4.14,34.44,31.37,2.65,19.16,34.55,17.4,51.42,43.39,9.91,34.55,9.94,"6,220,500",26,-0.98,80.22,10.3,0.09,8.95,48.3,28.67,28.67,48.3,"14,343","216,940","1,846,036","79,262"
4576 大銀微系統,2023/9/28,4576,3,2023/11/10,0.14,2.08,3.36,66.19,1.4,0.53,1.15,0.72,0.72,2.38,-84.28,167.86,1.01,5.65,447.94,16.34,6.8,-66.45,5.65,-65.12,"7,846,966",-36.13,-9.52,67.52,-1.88,0.09,4.43,32.31,-39.51,-39.51,32.31,"-14,842","508,294","4,013,781","55,352"
4577 達航,2023/9/28,4577,3,2023/11/8,-0.85,1.07,1.45,,-0.68,-1.54,-0.57,-3.32,-4.35,-45.9,-298.38,-789.86,-11.53,-44.14,"-3,925",0.11,-41.4,-271.55,-33.72,-270.35,"1,321,785",-69.19,-48.03,52.53,-2.18,0.05,4.5,-1.04,-101.2,-101.2,-1.04,"17,376","123,418","1,236,935","-28,832"
4580 捷流閥業,2023/9/28,4580,3,2023/11/13,2.19,1.78,1.49,8.72,4.29,2.74,3.13,4.39,4.45,17.19,15.95,-1.22,27.49,13.89,-5.9,21.79,19.1,3.57,13.69,-0.08,"3,925,103",1.31,-5.13,63.06,-0.96,0.19,1.91,33.46,5.01,5.01,33.46,"35,626","689,929","2,209,616","202,463"
4581 光隆精密-KY,2023/9/28,4581,3,2023/11/10,1.38,2.33,2.05,10.23,4.36,2.82,3.49,4.66,4.66,17.3,53.32,-3.62,15.48,15.38,-28.1,24.38,19.24,12.02,15.38,21.68,"2,410,219",15.65,3.35,60.79,7.95,0.18,1.94,33.29,39.99,39.99,33.29,"-20,282","303,466","1,038,524","54,587"
