公司,年月,上市別,證期會代碼,TSE 產業別,TEJ產業_名稱,ROA－綜合損益,季別,實收資本額(元),ROE(A)－稅後,當季季底P/E,當季季底P/B,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,季底每股稅後淨利,收盤價(元),市值(百萬元),公司規模,股價變化,股價變化率
2701 萬企,2023/6/30,TSE,2701,16,餐飲飯店,6.99,2.0,4499678380,0.96,28.34,0.75,30.16,44.34,44.34,54.55,-19.33,-26.23,-26.23,-26.74,9.71,10.5,,-0.31,0.18,14.1,6345.0,中,1.55,0.12
2704 國賓,2023/6/30,TSE,2704,16,餐飲飯店,40.03,2.0,3669233430,3.88,32.86,0.86,-4.19,51.39,51.39,89.25,12135.94,13648.03,13648.03,-65.41,38.25,79.81,-28.79,3.52,1.9,52.3,19374.0,中,17.49,0.5
2705 六福,2023/6/30,TSE,2705,16,餐飲飯店,-0.94,2.0,1913128300,-2.95,,0.98,82.47,869.72,869.72,86.09,63.63,63.63,63.63,63.4,-0.14,-1.45,-5.61,1.64,-0.75,24.5,4687.0,中,7.4,0.43
2706 第一店,2023/6/30,TSE,2706,16,餐飲飯店,3.3,2.0,4999983460,1.11,28.59,0.91,43.12,16.48,16.48,18.2,-26.8,-32.04,-32.04,-32.07,7.41,7.34,,-0.46,0.22,17.95,8975.0,中,3.25,0.22
2809 京城銀,2023/6/30,TSE,2809,17,本國銀行,1.04,2.0,11112342650,5.37,8.41,0.87,189.95,,,,154.87,176.26,176.26,176.68,9.09,7.79,6.46,0.4,,35.55,39504.0,中,1.37,0.04
2816 旺旺保,2023/6/30,TSE,2816,17,產險業,4.4,2.0,2236080000,14.64,16.24,0.74,28.35,753.77,,194.39,195.32,193.79,193.79,193.79,3.64,5.37,,8.65,,18.75,4193.0,中,3.5,0.23
2820 華票,2023/6/30,TSE,2820,17,票券公司,0.69,2.0,13429600000,3.47,14.71,0.91,26.86,,,,28.22,28.82,28.82,28.82,1.4,3.76,,0.08,,14.9,20682.0,中,0.38,0.03
2832 台產,2023/6/30,TSE,2832,17,產險業,4.62,2.0,3622004000,5.18,8.13,0.78,11.24,18.91,,37.08,36.64,45.22,45.22,45.22,9.6,5.84,-17.81,0.81,,21.95,8312.0,中,2.1,0.11
2836 高雄銀,2023/6/30,TSE,2836,17,本國銀行,0.43,2.0,12742982240,2.82,13.23,0.86,-5.81,,,,-1.96,-17.82,-17.82,-17.82,5.97,9.0,,-0.04,,12.08,14919.0,中,0.14,0.01
2838 聯邦銀,2023/6/30,TSE,2838,17,本國銀行,0.5,2.0,39789525020,3.85,10.07,0.91,30.31,,,,81.35,117.82,117.82,117.82,7.95,8.81,,0.16,,15.56,59122.0,中,0.57,0.04
2845 遠東銀,2023/6/30,TSE,2845,17,本國銀行,0.37,2.0,40694838550,3.67,10.52,0.86,16.79,,,,21.5,23.7,23.7,23.7,4.06,16.22,4.96,0.05,,11.49,48427.0,中,0.78,0.07
2849 安泰銀,2023/6/30,TSE,2849,17,本國銀行,0.07,2.0,19576093490,0.22,,0.95,-5.3,,,,-98.59,-93.74,-93.74,-93.73,0.88,-2.65,11.78,-0.31,,15.15,30441.0,中,0.73,0.05
2851 中再保,2023/6/30,TSE,2851,17,產險業,2.07,2.0,8003887500,6.73,11.02,0.94,-5.65,1167.57,,1300.05,1300.32,750.62,750.62,750.62,1.2,31.35,69.61,2.08,,21.2,16968.0,中,3.5,0.2
2852 第一保,2023/6/30,TSE,2852,17,產險業,2.38,2.0,3011637840,3.72,7.42,0.63,6.4,-1.27,,-4.53,-4.53,-0.15,-0.15,-0.15,7.21,10.63,,0.0,,15.55,4894.0,中,0.63,0.04
2855 統一證,2023/6/30,TSE,2855,17,證券,1.4,2.0,14558313430,5.38,8.9,0.82,85.08,,,1087.01,4680.25,1103.33,1103.33,1232.41,44.35,7.33,8.83,2.21,,17.4,25331.0,中,1.65,0.1
2867 三商壽,2023/6/30,TSE,2867,17,壽險業,0.46,2.0,45995010440,-13.84,,0.66,19.06,-30.68,,-22.01,-22.89,30.92,30.92,30.92,5.04,46.27,-1.7,0.14,,5.45,25067.0,中,0.42,0.08
2882 國泰金,2023/6/30,TSE,2882,17,金融控股,1.02,2.0,162025101280,4.96,25.47,0.9,-31.7,,,,-39.36,-33.04,-33.04,-33.04,9.72,59.63,40.56,-0.13,,43.15,632976.0,大,2.2,0.05
2883 開發金,2023/6/30,TSE,2883,17,金融控股,0.97,2.0,184214310050,4.48,14.97,0.86,-61.4,,,,-43.02,-25.56,-25.56,-25.56,5.65,30.59,,-0.09,,12.4,208807.0,大,-0.15,-0.01
2888 新光金,2023/6/30,TSE,2888,17,金融控股,0.5,2.0,157846182430,-2.82,,0.58,-77.9,,,,-310.67,-317.15,-317.15,-317.15,3.85,15.59,-0.95,-0.19,,8.9,137840.0,大,0.48,0.06
2897 王道銀行,2023/6/30,TSE,2897,17,本國銀行,0.53,2.0,30330063010,3.78,3.84,0.72,16.23,,,,33.54,42.94,43.35,43.35,4.9,10.86,-6.09,0.11,,9.82,27887.0,中,0.5,0.05
2915 潤泰全,2023/6/30,TSE,2915,18,百貨批發,12.3,2.0,11043187720,5.35,16.5,0.73,-7.03,-1.34,-1.34,217.3,-56.3,-54.41,-54.41,-54.01,130.93,1255.47,-5.35,-5.52,4.36,58.25,66480.0,中,3.58,0.07
2929 淘帝-KY,2023/6/30,TSE,2929,18,百貨批發,-2.96,2.0,1094938380,-1.36,,0.47,-21.45,-0.32,-0.32,35.3,-18.15,16.23,16.23,16.22,3.07,1.37,-41.46,0.11,-0.36,11.95,1308.0,中,-1.9,-0.14
3015 全漢,2023/6/30,TSE,3015,28,電子零組件,9.45,2.0,1872619500,1.74,10.4,0.62,-3.05,7.76,7.93,4.32,-20.31,-22.24,-22.24,-23.06,9.07,16.77,-7.29,-0.35,1.2,48.0,8989.0,中,5.05,0.12
3049 和鑫,2023/6/30,TSE,3049,26,光電/ IO,-1.36,2.0,8050475290,-2.95,,0.89,-33.54,-232.92,-232.92,-507.04,-261.61,-279.59,-279.59,-286.98,-2.97,-3.34,-10.7,-2.71,-0.34,10.6,8534.0,中,0.73,0.07
